from,to,relation
ul,500,1
lk,500,1
nr,500,1
sw,500,1
cs,500,1
ul,CDU,2
lk,SPD,2
nr,CDU,2
sw,Linke,2
cl,FDP,2
ks,501,1
lk,501,1
kd,501,1
el,501,1
nr,501,1
cl,501,1
ab,502,1
ft,502,1
am,502,1
agl,502,1
er,502,1
ab,Gr端ne,2
agl,FDP,2
rh,503,1
cm,503,1
kp,503,1
rk,503,1
lk,503,1
rh,Gr端ne,2
rk,CDU,2
cla,504,1
sb,504,1
ch,504,1
mw,504,1
agl,504,1
cla,SPD,2
os,SPD,2
os,505,2
ms,506,1
vg,506,1
mb,506,1
ra,506,1
lk,506,1
ms,CSU,2
mb,Gr端ne,2
se,507,1
mas,507,1
jw,507,1
mf,507,1
ab,507,1
se,SPD,2
mas,FDP,2
jw,CDU,2
kk,508,1
bh,508,1
rp,508,1
hw,508,1
am,508,1
kk,SPD,2
bh,Gr端ne,2
rp,CDU,2
